default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings_account/bonds,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,1,6,4,domestic appliances,1169,5,5,4,3,1,4,1,67,3,own,2,skilled employee / official,1,2,1
1,2,48,2,domestic appliances,5951,1,3,2,2,1,2,1,22,3,own,1,skilled employee / official,1,1,1
0,4,12,4,(vacation - does not exist?),2096,1,4,2,3,1,3,1,49,3,own,1,unskilled - resident,2,1,1
0,1,42,2,radio/television,7882,1,4,2,3,0,4,2,45,3,for free,1,skilled employee / official,2,1,1
1,1,24,3,car (new),4870,1,3,3,3,1,4,4,53,3,for free,2,skilled employee / official,2,1,1
0,4,36,2,(vacation - does not exist?),9055,5,3,2,3,1,4,4,35,3,for free,1,unskilled - resident,2,2,1
0,4,24,2,radio/television,2835,3,5,3,3,1,4,2,53,3,own,1,skilled employee / official,1,1,1
0,2,36,2,car (used),6948,1,3,2,3,1,2,3,35,3,rent,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,12,2,domestic appliances,3059,4,4,2,1,1,4,1,61,3,own,1,unskilled - resident,1,1,1
1,2,30,4,car (new),5234,1,1,4,4,1,2,3,28,3,own,2,management/ self-employed/ highly qualified employee/ officer,1,1,1
1,2,12,2,car (new),1295,1,2,3,2,1,1,3,25,3,rent,1,skilled employee / official,1,1,1
1,1,48,2,business,4308,1,2,3,2,1,4,2,24,3,rent,1,skilled employee / official,1,1,1
0,2,12,2,domestic appliances,1567,1,3,1,2,1,1,3,22,3,own,1,skilled employee / official,1,2,1
1,1,24,4,car (new),1199,1,5,4,3,1,4,3,60,3,own,2,unskilled - resident,1,1,1
0,1,15,2,car (new),1403,1,3,2,2,1,4,3,28,3,rent,1,skilled employee / official,1,1,1
1,1,24,2,domestic appliances,1282,2,3,4,2,1,2,3,32,3,own,1,unskilled - resident,1,1,1
0,4,24,4,domestic appliances,2424,5,5,4,3,1,4,2,53,3,own,2,skilled employee / official,1,1,1
0,1,30,0,business,8072,5,2,2,3,1,3,3,25,1,own,3,skilled employee / official,1,1,1
1,2,24,2,car (used),12579,1,5,4,2,1,2,4,44,3,for free,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
0,4,24,2,domestic appliances,3430,3,5,3,3,1,2,3,31,3,own,1,skilled employee / official,2,2,1
0,4,9,4,car (new),2134,1,3,4,3,1,4,3,48,3,own,3,skilled employee / official,1,2,1
0,1,6,2,domestic appliances,2647,3,3,2,3,1,3,1,44,3,rent,1,skilled employee / official,2,1,1
0,1,10,4,car (new),2241,1,2,1,3,1,3,1,48,3,rent,2,unskilled - resident,2,1,2
0,2,12,4,car (used),1804,2,2,3,3,1,4,2,44,3,own,1,skilled employee / official,1,1,1
0,4,10,4,radio/television,2069,5,3,2,4,1,1,3,26,3,own,2,skilled employee / official,1,1,2
0,1,6,2,radio/television,1374,1,3,1,3,1,2,1,36,1,own,1,unskilled - resident,1,2,1
0,4,6,0,domestic appliances,426,1,5,4,4,1,4,3,39,3,own,1,unskilled - resident,1,1,1
0,3,12,1,domestic appliances,409,4,3,3,2,1,3,1,42,3,rent,2,skilled employee / official,1,1,1
0,2,7,2,domestic appliances,2415,1,3,3,3,0,2,1,34,3,own,1,skilled employee / official,1,1,1
1,1,60,3,business,6836,1,5,3,3,1,4,4,63,3,own,2,skilled employee / official,1,2,1
0,2,18,2,business,1913,4,2,3,4,1,3,1,36,1,own,1,skilled employee / official,1,2,1
0,1,24,2,radio/television,4020,1,3,2,3,1,2,3,27,2,own,1,skilled employee / official,1,1,1
0,2,18,2,car (new),5866,2,3,2,3,1,2,3,30,3,own,2,skilled employee / official,1,2,1
0,4,12,4,business,1264,5,5,4,3,1,4,4,57,3,rent,1,unskilled - resident,1,1,1
0,3,12,2,radio/television,1474,1,2,4,2,1,1,2,33,1,own,1,management/ self-employed/ highly qualified employee/ officer,1,2,1
1,2,45,4,domestic appliances,4746,1,2,4,3,1,2,2,25,3,own,2,unskilled - resident,1,1,1
0,4,48,4,(vacation - does not exist?),6110,1,3,1,3,1,3,4,31,1,for free,1,skilled employee / official,1,2,1
1,3,18,2,domestic appliances,2100,1,3,4,3,0,2,1,37,2,own,1,skilled employee / official,1,1,1
0,3,10,2,repairs,1225,1,3,2,3,1,2,3,37,3,own,1,skilled employee / official,1,2,1
0,2,9,2,domestic appliances,458,1,3,4,3,1,3,1,24,3,own,1,skilled employee / official,1,1,1
